school_id,school,city,countystate_territory,african_american_adm,african_american_app,african_american_enr,american_indian_adm,american_indian_app,american_indian_enr,asian_adm,asian_app,asian_enr,domestic_unknown_adm,domestic_unknown_app,domestic_unknown_enr,hispanic_latinx_adm,hispanic_latinx_app,hispanic_latinx_enr,intl_adm,intl_app,intl_enr,pacific_islander_adm,pacific_islander_app,pacific_islander_enr,white_adm,white_app,white_enr,total_applied,total_accepted,total_enrolled,pct_accepted,pct_enrolled
1251598,ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,80.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,53.0,12.0,66.25,15.0
1252154,LAKE BALBOA COLLEGE PREP K-12,Van Nuys,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,0.0,0.0,0.0,6.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,4.0,22.0,15.0,10.0,68.18,45.45
252215,SUMMIT PUBLIC SCHOOL K2,El Cerrito,Contra Costa,4.0,5.0,0.0,0.0,0.0,0.0,5.0,7.0,4.0,0.0,0.0,0.0,18.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,27.0,7.0,67.5,17.5
254475,MAGNOLIA SCIENCE ACADEMY 2,Van Nuys,Los Angeles,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,3.0,76.47,17.65
354510,MAGNOLIA SCIENCE ACADEMY 3,Carson,Los Angeles,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
454468,MAGNOLIA SCIENCE ACADEMY 4,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,inf,
50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,19.0,26.0,15.0,4.0,0.0,3.0,15.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,97.0,25.0,155.0,97.0,47.0,62.58,30.32
50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,7.0,13.0,0.0,0.0,0.0,0.0,79.0,107.0,47.0,5.0,6.0,3.0,24.0,34.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,84.0,27.0,244.0,177.0,88.0,72.54,36.07
50006,OAK PARK HIGH SCHOOL,Oak Park,Ventura,3.0,6.0,0.0,0.0,0.0,0.0,76.0,86.0,39.0,7.0,8.0,3.0,13.0,22.0,4.0,5.0,5.0,4.0,0.0,0.0,0.0,42.0,71.0,13.0,198.0,146.0,63.0,73.74,31.82
50008,VASQUEZ HIGH SCHOOL,Acton,Los Angeles,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,inf,
