school_,city_,countystate_territory_,african_american_adm,african_american_app,african_american_enr,american_indian_adm,american_indian_app,american_indian_enr,asian_adm,asian_app,asian_enr,domestic_unknown_adm,domestic_unknown_app,domestic_unknown_enr,hispanic_latinx_adm,hispanic_latinx_app,hispanic_latinx_enr,intl_adm,intl_app,intl_enr,pacific_islander_adm,pacific_islander_app,pacific_islander_enr,white_adm,white_app,white_enr,total_applied,total_accepted,total_enrolled,pct_accepted,pct_enrolled
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,66.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,63.0,24.0,84.0,32.0
ABLE CHARTER,Stockton,San Joaquin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,3.0,72.73,27.27
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,24.0,27.0,10.0,0.0,0.0,0.0,31.0,45.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,55.0,18.0,76.39,25.0
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,4.0,7.0,0.0,0.0,0.0,0.0,131.0,195.0,83.0,0.0,0.0,0.0,22.0,32.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,4.0,245.0,164.0,96.0,66.94,39.18
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,0.0,6.0,0.0,0.0,0.0,0.0,15.0,17.0,13.0,0.0,0.0,0.0,43.0,61.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,7.0,103.0,71.0,35.0,68.93,33.98
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,3.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,3.0,0.0,0.0,0.0,8.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,6.0,25.0,24.0,13.0,96.0,52.0
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,81.82,0.0
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,38.0,52.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,41.0,9.0,71.93,15.79
ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,6.0,9.0,3.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,16.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,31.0,7.0,79.49,17.95
ACADEMIES OF ANTELOPE VALLEY,Lancaster,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,57.14,0.0
ACADEMY OF CAREERS AND EXPLORA,Helendale,San Bernardino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,0.0,5.0,0.0,0.0,0.0,0.0,21.0,30.0,10.0,0.0,0.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,29.0,10.0,59.18,20.41
ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.0,0.0,48.0,0.0
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,6.0,6.0,0.0,0.0,0.0,0.0,30.0,36.0,23.0,0.0,0.0,0.0,11.0,14.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,5.0,72.0,58.0,34.0,80.56,47.22
ACADEMY OF THE REDWOODS,Eureka,Humboldt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,9.0,11.0,11.0,9.0,100.0,81.82
